Modelo,Marca,Ubicación,Posición,Precio por unidad (UDS)
Civic,Honda,Barra estabilizadora delantera,L,$26.66
CRV,Honda,Barra estabilizadora delantera,R/L,$17.96
Lancer,Mitsubishi,Barra estabilizadora delantera,R,$17.96
Lancer,Mitsubishi,Barra estabilizadora delantera,L,$17.96
Canter,Mitsubishi Fuso,Barra estabilizadora delantera,R/L,$15.26
Picanta(03-11),Kia,Barra estabilizadora delantera,R/L,$15.26
i10(10-15),Hyundai,Barra estabilizadora delantera,R/L,$15.26
Accent,Hyundai,Barra estabilizadora delantera,L,$20.13
Elantra (06-10),Hyundai,Barra estabilizadora delantera,R/L,$24.49
Avante,Hyundai,Barra estabilizadora delantera,R/L,$24.49
Almera,Nissan,Barra estabilizadora delantera,R/L,$15.26
Bluebird,Nissan,Barra estabilizadora delantera,R/L,$15.26
March,Nissan,Barra estabilizadora delantera,R/L,$15.26
Maxima,Nissan,Barra estabilizadora delantera,R/L,$15.26
Pulsar,Nissan,Barra estabilizadora delantera,R/L,$15.26
Sunny,Nissan,Barra estabilizadora delantera,R/L,$15.26
Urvan,Nissan,Barra estabilizadora delantera,R,$22.15
Frontier(04-),Nissan,Barra estabilizadora delantera,L,$29.91
Pathfinder(05-14),Nissan,Barra estabilizadora delantera,R/L,$23.07
